sub_num,accuracy
1,0.9525632262474368
2,0.9012324776070326
3,0.7854152954888249
4,0.9581542161305588
5,0.9199711594448436
6,0.9216530841530841
7,0.9116134025387966
8,0.9894892985802076
9,0.9127593306164734
10,0.9653347655770604
11,0.9636766475948276
12,0.9734984419767027
13,0.8283086158923478
14,0.8738935904605759
15,0.945653049435944
16,0.9366636989315009
17,0.7627492877492879
18,0.8568299425442283
19,0.9669599990831608
20,0.9202034788573251
21,0.9157685421733407
22,0.9623126462412107
23,0.795391477209659
24,0.9091970229374831
25,0.9517726683361356
26,0.9925996071829404
27,0.7275219046822583
28,0.9376455218662982
29,0.9207696755858521
30,0.9758119929137378
31,0.9399703807114795
